tenant_page_url,tenant_logo_url,category,subcategory,tenant_name,tenant_photo_url,buildings,floors,products,where_to_park,pickup_point_stripped,takeaway,contact_phone_stripped,catalogue,whatsapp_chat,go_food,grab_food,shopee_food
https://www.malkelapagading.com/directory/tommy-hilfiger,http://images.malkelapagading.com/tenant/Tommy-Hilfigerlogo-65.jpg,Shopping,Fashion & Accesories,Tommy Hilfiger,http://images.malkelapagading.com/tenant/Tommy-Hilfigerfoto-85.jpg,['MKG-3'],['Lantai 1 35'],Iconic Fashion. Modern Americana,,,,021-45878524,,available,,available,available
https://www.malkelapagading.com/directory/2nd-floor-barbershop,http://images.malkelapagading.com/tenant/nd-Floor-Barbershoplogo.jpg,Shopping,Health & Beauty,2nd Floor Barbershop,http://images.malkelapagading.com/tenant/nd-Floor-Barbershopfoto1.jpg,['Gading Walk'],['Lantai Dasar Arcade 20 & 22'],"Barbershop, Salon khusus pria","Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",,,02145878336,,,,,
https://www.malkelapagading.com/directory/3mongkis,http://images.malkelapagading.com/tenant/MONGKISlogo.jpg,Shopping,Fashion & Accesories,3MONGKIS,http://images.malkelapagading.com/tenant/MONGKISfoto.jpg,['MKG-3'],['Lantai 2 27'],Women Fashion,Gedung Parkir 3,,,02145848975,,,,,
https://www.malkelapagading.com/directory/7hundredml-mall-kelapa-gading,http://images.malkelapagading.com/tenant/hundredmLlogo-93.jpg,Shopping,Specialist Shop & Services,7hundredmL,http://images.malkelapagading.com/tenant/hundredmLfoto-91.jpg,['Gading Walk'],['Lantai Dasar Arcade 28'],Wine and Others,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",,,0214529709,,,,,
https://www.malkelapagading.com/directory/a-and-w-restaurant,http://images.malkelapagading.com/tenant/A-W-Restaurantlogo1.jpg,Dining,F & B Delivery,A & W,http://images.malkelapagading.com/tenant/A-W-Restaurantfoto1.jpg,"['MKG-3', 'MKG-2']","['Lantai 3 FCI-14', 'Lantai 2 312A']","Root Beer, Burger, Hand Breaded Chicken Tender, Hotdog, Fries, Sundaes, Waffles",Gedung Parkir 3,MKG 2 Lantai Dasar,,0214533442,,,available,available,
https://www.malkelapagading.com/directory/a-fung-baso-sapi,http://images.malkelapagading.com/tenant/A-Fung-Baso-Sapilogo.jpg,Dining,F & B Delivery,A Fung Baso Sapi,http://images.malkelapagading.com/tenant/A-Fung-Baso-Sapifoto.jpg,['MKG-3'],['Lantai 3 FCL-09'],"Baso Sapi kuah, Tahu Baso",Gedung Parkir 3,,,02145853579,,,available,,
https://www.malkelapagading.com/directory/a-ve-re-rw,http://images.malkelapagading.com/tenant/Punk-Q-Salonlogo1.jpg,Shopping,Health & Beauty,"A. VE, RE. RW",http://images.malkelapagading.com/tenant/Punk-Q-Salonfoto.jpg,['MKG-2'],['Lantai 2 25'],"Salon, produk perawatan rambut",Gedung Parkir 2 Lt. 3 P3/P3A,,,02145878287,,,,,
https://www.malkelapagading.com/directory/adelle-jewellery,http://images.malkelapagading.com/tenant/Adelle-Jewellerylogo.jpg,Shopping,Fashion & Accesories,Adelle Jewellery,http://images.malkelapagading.com/tenant/Adelle-Jewelleryfoto.jpg,['MKG-3'],['Lantai Dasar 40'],"Perhiasan, Premiere Jewellery, House of Jewellery Design",Gedung Parkir 3 Basement P1/P1A,,,02145853788,,,,,
https://www.malkelapagading.com/directory/adidas,http://images.malkelapagading.com/tenant/Adidaslogo3.jpg,Shopping,Shop From Home,Adidas,http://images.malkelapagading.com/tenant/Adidasfoto3.jpg,['MKG-3'],['Lantai Dasar 45'],"Sepatu & perlengkapan dari berbagai bidang olahraga, seperti lari, tenis, basket, sepak bola, bersepeda, golf, dan lain-lain.",Gedung Parkir 3,,,02145853991,available,available,,,
https://www.malkelapagading.com/directory/aldo,http://images.malkelapagading.com/tenant/ALDOlogo.jpg,Shopping,Bags & Shoes,ALDO,http://images.malkelapagading.com/tenant/ALDOfoto.jpg,['MKG-2'],['Lantai 1 225-227'],"Shoes, boots, sandals, handbag, accessories",Gedung Parkir 2 Lantai 2 P2,,,0214533382,,,,,
