url,category,poster,title,rating,duration,year,genre,language,synopsis,director,cast
https://www.visionplus.id/channel/2440/thrill,Movies Channel,https://static.mncnow.id/images/channel/893bb6b5/30f4_r32.jpg,Thrill,SU,0h 0m,0,"Entertainment , Channel , International","English, Bahasa","Nonton Thrill Online kini lebih mudah langsung dari smartphone Android, iOS, desktop dan smart TV. Live streaming Thrill, siaran langsung acara Thrill terbaru serta beragam konten premium lainnya di Vision+.",-,-
https://www.visionplus.id/channel/2443/celestial-movies,Movies Channel,https://static.mncnow.id/images/channel/e09a0750/2f2e_r32.jpg,Celestial Movies,SU,0h 0m,0,"Movies , Channel , International , China , Chinese","English, Bahasa","Nonton Celestial Movies Online kini lebih mudah langsung dari smartphone Android, iOS, desktop dan smart TV. Live streaming Celestial Movies , siaran langsung acara Celestial Movies terbaru serta beragam konten premium lainnya di Vision+.",-,-
https://www.visionplus.id/channel/2755/celestial-classic-movie,Movies Channel,https://static.mncnow.id/images/channel/cafe66c5/bbf9_r32.jpg,Celestial Classic Movie,SU,0h 0m,0,"Movies , Channel , International , China , Chinese , classic , martial , Kungfu","English, Bahasa","Nonton Celestial Classic Movie Online kini lebih mudah langsung dari smartphone Android, iOS, desktop dan smart TV. Live streaming Celestial Classic Movie, siaran langsung acara Celestial Classic Movie terbaru serta beragam konten premium lainnya di Vision+.",-,-
https://www.visionplus.id/channel/2449/zee-bioskop,Movies Channel,https://static.mncnow.id/images/channel/6ecb9b54/794c_r32.jpg,Zee Bioskop,SU,0h 0m,0,"Drama , Movies , Channel , India , International","English, Bahasa","Nonton Zee Bioskop Online kini lebih mudah langsung dari smartphone Android, iOS, desktop dan smart TV. Live streaming Zee Bioskop, siaran langsung acara Zee Bioskop terbaru serta beragam konten premium lainnya di Vision+.",-,-
https://www.visionplus.id/channel/6553/tvn-movies,Movies Channel,https://static.mncnow.id/images/channel/cfd38f8c/81ea_r32.jpg,tvN Movies,D,0h 0m,0,"Entertainment , Movies , Channel , International , Korean","English, Bahasa","Nonton tvN Movies Online kini lebih mudah langsung dari smartphone Android, iOS, desktop dan smart TV. Live streaming tvN Movies, siaran langsung acara tvN Movies terbaru serta beragam konten premium lainnya di Vision+.",-,-
https://www.visionplus.id/channel/6537/hits-movies,Movies Channel,https://static.mncnow.id/images/channel/d5966d04/9914_r32.jpg,Hits Movies,D,0h 0m,0,"Movies , Channel , International , classic , Western","English, Bahasa","Nonton Hits Movies Online kini lebih mudah langsung dari smartphone Android, iOS, desktop dan smart TV. Live streaming Hits Movies, siaran langsung acara Hits Movies terbaru serta beragam konten premium lainnya di Vision+.",-,-
https://www.visionplus.id/movies/407/brownies,Indo Classic Movies,https://static.mncnow.id/images/vod/28648590/921c_r32.jpg,Brownies,D,1h 48m,2004,Drama,"English, Bahasa","Mel yang patah hati setelah diselingkuhi tunangannya, melakukan balas dendam dengan mendekati banyak pria. Hingga ia bertemu Are, seorang novelis yang pandai membuat brownis. Akankah Mel mampu untuk membuka hatinya kembali ?",Hanung Bramantyo,"Luna Maya, Marcella Zalianty, Bucek Depp, Arie K. Untung, Marcella Zalianty"
https://www.visionplus.id/movies/254/mengejar-matahari,Indo Classic Movies,https://static.mncnow.id/images/vod/15c2b612/e6b7_r32.jpg,Mengejar Matahari,D,1h 57m,2004,Drama,"English, Bahasa",4 sahabat sedari kecil yang hidup bertetangga. Ritual mereka setiap petang yakni mengejar matahari. Konflik keluarga dan cinta mewarnai kisah persahabatan mereka.,Rudi Soedjarwo,"Fauzi Baadilla, Winky Wiryawan, Fedi Nuril, Udjo Project Pop"
https://www.visionplus.id/movies/616/vina-bilang-cinta,Indo Classic Movies,https://static.mncnow.id/images/vod/f81ba2a9/4af6_r32.jpg,Vina Bilang Cinta,D,1h 33m,2005,Drama,"English, Bahasa",Cillia terjebak untuk membantu Tris meniti karier musiknya. Sebuah hal yang sangat sulit mengingat Cillia begitu anti dengan segala sesuatu yang diyakini oleh Tris.,Indra Yudhistira,"Callista Argentina, Delon, Elmayana Sabriena"
https://www.visionplus.id/movies/605/tentang-dia,Indo Classic Movies,https://static.mncnow.id/images/vod/1518568a/a0e6_r32.jpg,Tentang Dia,D,1h 56m,2005,Drama,"English, Bahasa","Terluka karena dikhianati pacar dan sahabatnya, Gadis menjadi seorang penyendiri. Hingga ia bertemu Rudi, seorang pria dengan jiwa bebas yang membuat Gadis kembali membuka hatinya. Sementara itu, Randu, teman kampus Gadis, telah lama menyimpan rasa terhadap Gadis. Randu pun berusaha merebut hatinya.",Rudi Soedjarwo,"Sigi Wimala, Adinia Wirasti"
https://www.visionplus.id/movies/423/ungu-violet,Indo Classic Movies,https://static.mncnow.id/images/vod/2fd8e50c/1db6_r32.jpg,Ungu Violet,D,1h 36m,2005,Drama,"English, Bahasa","Lando, fotografer yang sedang patah hati karena ditinggal tunangannya bertemu dengan Kalin, seorang penjaga tiket busway. Berkat Lando, Kalin berhasil menjadi model ternama. Karena suatu alasan, Lando meninggalkan Kalin dan membuatnya patah hati. Ketika Lando sadar akan cintanya kepada Kalin, semua sudah terlambat.",Rako Prijanto,"Dian Sastrowardoyo, Rizky Hanggono, Rima Melati"
https://www.visionplus.id/movies/257/jomblo,Indo Classic Movies,https://static.mncnow.id/images/vod/9317a6e7/04d4_r32.jpg,Jomblo,R,1h 56m,2006,Comedy,"English, Bahasa",Empat sahabat yang telah lama menjomblo hidup dalam satu kampus. Kemudian muncul wanita cantik bernama Asri di kampus mereka dan akhirnya persahabatan mereka pun diuji.,Hanung Bramantyo,"Rizky Hanggono, Christian Sugiono, Dennis Adhiswara, Rianti Cartwright"
https://www.visionplus.id/movies/181/mendadak-dangdut,Indo Classic Movies,https://static.mncnow.id/images/vod/ce4a5be5/afb8_r32.jpg,Mendadak Dangdut,D,1h 33m,2006,Comedy,"English, Bahasa","Petris, penyanyi Rock pendatang baru, hanya memiliki seorang kakak, Yulia yang sekaligus manajernya. Hingga suatu peristiwa, memaksa keduanya untuk melarikan diri. Dibantu Rizal, pemimpin grup dangdut, Petris menyamar menjadi Lis Maduma.",Rudi Soedjarwo,"Dwi Sasono, Titi Kamal, Kinaryosih"
https://www.visionplus.id/movies/357/cintapuccino,Indo Classic Movies,https://static.mncnow.id/images/vod/4c516bde/bd5c_r32.jpg,Cintapuccino,D,1h 47m,2007,Drama,"English, Bahasa","Rahmi sudah sangat lama memendam rasa pada pria idamannya, Nimo. 10 tahun kemudian, Rahmi telah bertunangan dengan Raka yang secara tiba-tiba Nimo muncul dalam hidupnya dan mengajaknya menikah. Mana yang akan dipilihnya ?",Rudi Soedjarwo,"Sissy Prescillia, Aditya Herpavi, Nadia Saphira, Miller Khan"
https://www.visionplus.id/movies/415/maaf-saya-menghamili-istri-anda,Indo Classic Movies,https://static.mncnow.id/images/vod/4c0325ad/8bb2_r32.jpg,Maaf Saya Menghamili Istri Anda,D,1h 30m,2007,Drama,"English, Bahasa","Dibyo, pemuda pengangguran yang selalu berkhayal menjadi artis terkenal, seketika hidupnya berubah saat ia menghamili Mira, istri dari seorang preman sangar bernama Lamhot. Dimintai pertanggungjawabannya, Dibyo siap menghadapi amukan sang preman. Namun, siapa sangka Lamhot malah menjodohkan Dibyo dengan adiknya.",Monty Tiwa,"Ringgo Agus Rachman, Eddie Karsito, Shanty"
https://www.visionplus.id/movies/347/saus-kacang,Indo Classic Movies,https://static.mncnow.id/images/vod/0aeebe94/4a2c_r32.jpg,Saus Kacang,D,1h 48m,2008,Drama,"English, Bahasa","Dewi yang bekerja sebagai chef sebuah hotel di Bali bertemu dengan Fredo, turis dari Malaysia. Saat keduanya semakin dekat, Mae, mantan tunangan Fredo muncul kembali dalam hidupnya. Siapakah yang akan dipilih Fredo ?",Indrayanto Kurniawan,"Bunga Citra Lestari, Ashraf Sinclair"
https://www.visionplus.id/movies/1366/oh-my-god,Indo Classic Movies,https://static.mncnow.id/images/vod/570a8591/5eb1_r32.jpg,Oh My God,D,1h 55m,2008,Drama,"English, Bahasa","Ipin kelihatan terlalu tua untuk menjadi murid SMA. Karena masalah ekonomi, dia selalu telat mendaftar ke sekolah. Ipin mempunyai bakat menyanyi yang unik, yaitu ala Broery Pesolima, penyanyi era 1970-an.",Rako Prijanto,"Ringgo Agus Rachman, Maia Estianty, Revanila S. Temat, Desta"
https://www.visionplus.id/movies/411/doa-yang-mengancam,Indo Classic Movies,https://static.mncnow.id/images/vod/0c420ad3/9294_r32.jpg,Doa Yang Mengancam,D,1h 55m,2008,Drama,"English, Bahasa","Tak punya harta & ditinggal istrinya, Madrim merasa sebagai orang paling tidak beruntung di dunia. Ia pun berdoa pada Tuhan, jika hidup malangnya tak berubah, maka ia akan berpaling pada Iblis. Doanya dijawab, ia kini memiliki kemampuan luar biasa yang mendatangkan kekayaan. Apakah bahagia akhirnya menjadi milik Madrim ?",Hanung Bramantyo,"Aming, Titi Kamal"
https://www.visionplus.id/movies/19281/puber,Indo Classic Movies,https://static.mncnow.id/images/vod/a16fd479/95fb_r32.jpg,Puber,D,1h 29m,2008,Drama,"English, Bahasa","Masa remaja menurut banyak orang adalah masa yang paling indah. Namun tidak demikian halnya dengan Arletta, gadis kosmopolitan yang memiliki segala yang diimpikan remaja seusianya. Tapi Arletta merasa tertekan dan dimanfaatkan oleh teman-temannya, bahkan mamanya sendiri.",Gerhard S. Mali,"Rizky Hanggono, Ryana Dea, Andhika Gumilang"
https://www.visionplus.id/movies/601/kata-maaf-terakhir,Indo Classic Movies,https://static.mncnow.id/images/vod/ab3465a7/867b_r32.jpg,Kata Maaf Terakhir,D,2h 28m,2009,Drama,"English, Bahasa",Darma yang sedang sekarat memiliki keinginan terakhir untuk menghabiskan waktu bersama keluarganya yang telah ia tinggalkan karena menghamili sahabat istrinya sendiri. Akankah Darma mendapatkan maaf terakhir dari keluarganya ?,Maruli Ara,"Dwi Sasono, Maia Estianty, Tio Pakusadewo, Amanda"
https://www.visionplus.id/movies/343/kalau-cinta-jangan-cengeng,Indo Classic Movies,https://static.mncnow.id/images/vod/63131434/f8b4_r32.jpg,Kalau Cinta Jangan Cengeng,R,2h 0m,2009,Drama,"English, Bahasa","Boy, seorang artis ternama menjadi Duta Anti Narkoba. Ketika berkunjung ke panti rehabilitasi, ia bertemu Yani, yang ternyata adalah anak dari orang yang ditabrak Boy. Saat Yani mengetahui fakta itu, akankah ia memaafkan Boy ?.",Monty Tiwa,"Marshanda, Sigi Wimala, Dwi Sasono, Vincent R., Ringgo Agus Rachman"
https://www.visionplus.id/movies/238/asmara-dua-diana,Indo Classic Movies,https://static.mncnow.id/images/vod/431e9c6d/a6ee_r32.jpg,Asmara Dua Diana,D,1h 40m,2009,Comedy,"English, Bahasa","Asmara dilanda dilema besar saat istrinya Diana Wulandari, seorang pewaris perusahaan ternama, sedang hamil. Selingkuhannya, Diana Dwiyana pun sedang hamil. Bagaimana nasib Asmara diantara dua Diana ?",Awi Suryadi,"Luna Maya, Aura Kasih, Jamie Aditya"
https://www.visionplus.id/movies/285/hari-untuk-amanda,Indo Classic Movies,https://static.mncnow.id/images/vod/ccd9604e/1b9b_r32.jpg,Hari Untuk Amanda,SU,1h 42m,2010,Drama,"English, Bahasa","Amanda & Dody, sepasang kekasih yang bersiap untuk menikah. 10 hari menjelang pernikahannya, Hari, mantan kekasih Amanda selama 8 tahun, hadir kembali dalam hidup Amanda. Gadis satu ini pun dilanda kebimbangan untuk memilih pasangan hidupnya.",Angga Dwimas Sasongko,"Fanny Fabriana, Oka Antara, Reza Rahadian"
https://www.visionplus.id/movies/19229/my-blackberry-girlfriend,Indo Classic Movies,https://static.mncnow.id/images/vod/ad1556ce/f326_r32.jpg,My Blackberry Girlfriend,D,1h 23m,2011,Drama,"English, Bahasa","Martin membeli Blackberry bekas dan tanpa sengaja berkenalan dengan Angel. Perkenalan ini menjadi rumit saat tahu bahwa pemilik sebelumnya adalah Fendy, mantan kekasih Angel yang 'menghilang' dan tidak bertanggung jawab atas kehamilannya. Martin yang tidak mengerti apa-apa dituduh menyembunyikan Fendy dan diancam akan dipenjarakan oleh Angel. Karena tidak ingin dipenjara, Martin pun harus menggantikan peran Fendy sebelum pria itu ditemukan.",Other,"Luna Maya, Fathir Muchtar, Hardi Fadhillah"
https://www.visionplus.id/movies/603/masih-bukan-cinta-biasa,Indo Classic Movies,https://static.mncnow.id/images/vod/8ad6c26b/2115_r32.jpg,Masih Bukan Cinta Biasa,R,1h 30m,2011,Drama,"English, Bahasa","Tommy, sang bintang Rock, kehidupannya berubah seketika saat kedatangan anak laki-lakinya, Vino. Tommy yang telah membina keluarga bersama Lintang, istrinya dan Nikita, anak perempuannya, kini harus beradaptasi dengan kehadiran anggota baru dalam keluarga mereka.",Benni Setiawan,"Axel Andaviar, Ferdy Taher, Wulan Guritno, Olivia Jensen"
